,open,high,low,close,volume
2021-04-26 11:40:00,37190.0,37200.0,37100.0,37180.0,5522.31820687
2021-04-26 11:41:00,37180.0,37280.0,37160.0,37280.0,9349.50043762
2021-04-26 11:42:00,37260.0,37280.0,37190.0,37190.0,3768.10445812
2021-04-26 11:43:00,37190.0,37240.0,37190.0,37200.0,3668.17634068
2021-04-26 11:44:00,37200.0,37280.0,37190.0,37250.0,5055.24108431
2021-04-26 11:45:00,37240.0,37270.0,37230.0,37240.0,3586.28483014
2021-04-26 11:46:00,37240.0,37340.0,37230.0,37330.0,7569.307843
2021-04-26 11:47:00,37320.0,37350.0,37290.0,37300.0,4463.09112144
2021-04-26 11:48:00,37310.0,37340.0,37290.0,37320.0,3445.34337396
2021-04-26 11:49:00,37310.0,37340.0,37310.0,37340.0,5268.27842265
2021-04-26 11:50:00,37350.0,37350.0,37320.0,37340.0,4533.04743255
2021-04-26 11:51:00,37330.0,37350.0,37320.0,37330.0,5274.02370039
2021-04-26 11:52:00,37330.0,37340.0,37230.0,37250.0,7059.88163105
2021-04-26 11:53:00,37250.0,37290.0,37230.0,37260.0,3615.55499101
2021-04-26 11:54:00,37250.0,37280.0,37240.0,37260.0,3957.84139865
2021-04-26 11:55:00,37260.0,37280.0,37250.0,37270.0,4822.82693343
2021-04-26 11:56:00,37270.0,37370.0,37270.0,37360.0,7432.28529599
2021-04-26 11:57:00,37360.0,37370.0,37250.0,37270.0,3552.54260295
2021-04-26 11:58:00,37270.0,37320.0,37270.0,37300.0,3806.96826507
2021-04-26 11:59:00,37300.0,37310.0,37270.0,37280.0,3980.79729158
2021-04-26 12:00:00,37280.0,37390.0,37280.0,37380.0,10035.19892631
2021-04-26 12:01:00,37380.0,37500.0,37370.0,37500.0,6257.82643084
2021-04-26 12:02:00,37470.0,37500.0,37450.0,37500.0,6201.72989504
2021-04-26 12:03:00,37500.0,37550.0,37480.0,37480.0,6626.90744615
2021-04-26 12:04:00,37480.0,37490.0,37330.0,37380.0,5557.17975721
2021-04-26 12:05:00,37380.0,37430.0,37370.0,37380.0,4949.41027983
2021-04-26 12:06:00,37380.0,37410.0,37380.0,37410.0,4029.18141835
2021-04-26 12:07:00,37410.0,37460.0,37400.0,37440.0,4783.90510981
